"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-GRPO-n32-01131200 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-GRPO-n32-01131200 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-GRPO-n32-01131200 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-GRPO-n64 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-GRPO-n64 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-GRPO-n64 - val-core/GSM8K/reward/mean@1__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch-n16-new - val-core/GSM8K/reward/mean@1","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch-n16-new - val-core/GSM8K/reward/mean@1__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch-n16-new - val-core/GSM8K/reward/mean@1__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - val-core/GSM8K/reward/mean@1","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - val-core/GSM8K/reward/mean@1__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - val-core/GSM8K/reward/mean@1__MAX"
"0","0.42835481425322214","0.42835481425322214","0.42835481425322214","0.4268385140257771","0.4268385140257771","0.4268385140257771","0.4313874147081122","0.4313874147081122","0.4313874147081122","0.44275966641395","0.44275966641395","0.44275966641395","0.4473085670962851","0.4473085670962851","0.4473085670962851"
"5","0.45034116755117515","0.45034116755117515","0.45034116755117515","0.45261561789234267","0.45261561789234267","0.45261561789234267","0.4632297194844579","0.4632297194844579","0.4632297194844579","0.45261561789234267","0.45261561789234267","0.45261561789234267","0.4533737680060652","0.4533737680060652","0.4533737680060652"
"10","0.45261561789234267","0.45261561789234267","0.45261561789234267","0.47536012130401817","0.47536012130401817","0.47536012130401817","0.4655041698256255","0.4655041698256255","0.4655041698256255","0.4624715693707354","0.4624715693707354","0.4624715693707354","0.4518574677786202","0.4518574677786202","0.4518574677786202"
"15","0.47687642153146326","0.47687642153146326","0.47687642153146326","0.4761182714177407","0.4761182714177407","0.4761182714177407","0.48142532221379836","0.48142532221379836","0.48142532221379836","0.46019711902956784","0.46019711902956784","0.46019711902956784","0.46398786959818045","0.46398786959818045","0.46398786959818045"
"20","0.4844579226686884","0.4844579226686884","0.4844579226686884","0.489764973464746","0.489764973464746","0.489764973464746","0.4927975739196361","0.4927975739196361","0.4927975739196361","0.4874905231235785","0.4874905231235785","0.4874905231235785","0.47763457164518575","0.47763457164518575","0.47763457164518575"
"25","0.5026535253980288","0.5026535253980288","0.5026535253980288","0.49128127369219105","0.49128127369219105","0.49128127369219105","0.5003790750568613","0.5003790750568613","0.5003790750568613","0.4852160727824109","0.4852160727824109","0.4852160727824109","0.4829416224412434","0.4829416224412434","0.4829416224412434"
"30","0.5072024260803639","0.5072024260803639","0.5072024260803639","0.5056861258529188","0.5056861258529188","0.5056861258529188","0.5087187263078089","0.5087187263078089","0.5087187263078089","0.49583017437452614","0.49583017437452614","0.49583017437452614","0.48597422289613346","0.48597422289613346","0.48597422289613346"
"35","0.5079605761940864","0.5079605761940864","0.5079605761940864","0.511751326762699","0.511751326762699","0.511751326762699","0.5238817285822593","0.5238817285822593","0.5238817285822593","0.5155420773313116","0.5155420773313116","0.5155420773313116","0.48142532221379836","0.48142532221379836","0.48142532221379836"
"40","0.5246398786959818","0.5246398786959818","0.5246398786959818","0.5246398786959818","0.5246398786959818","0.5246398786959818","0.5193328278999242","0.5193328278999242","0.5193328278999242","0.5231235784685367","0.5231235784685367","0.5231235784685367","0.49962092494313876","0.49962092494313876","0.49962092494313876"
"45","0.5291887793783169","0.5291887793783169","0.5291887793783169","0.5284306292645944","0.5284306292645944","0.5284306292645944","0.5466262319939348","0.5466262319939348","0.5466262319939348","0.514783927217589","0.514783927217589","0.514783927217589","0.4836997725549659","0.4836997725549659","0.4836997725549659"
