"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX"
"11","298.52294921875","298.52294921875","298.52294921875","291.98583984375","291.98583984375","291.98583984375","298.1927185058594","298.1927185058594","298.1927185058594"
"12","313.8194580078125","313.8194580078125","313.8194580078125","323.5852355957031","323.5852355957031","323.5852355957031","317.62750244140625","317.62750244140625","317.62750244140625"
"13","300.5798645019531","300.5798645019531","300.5798645019531","311.0059509277344","311.0059509277344","311.0059509277344","315.6428527832031","315.6428527832031","315.6428527832031"
"14","296.24688720703125","296.24688720703125","296.24688720703125","313.1041564941406","313.1041564941406","313.1041564941406","294.67987060546875","294.67987060546875","294.67987060546875"
"15","293.3571472167969","293.3571472167969","293.3571472167969","301.65179443359375","301.65179443359375","301.65179443359375","312.8385314941406","312.8385314941406","312.8385314941406"
"16","292.1309509277344","292.1309509277344","292.1309509277344","288.34539794921875","288.34539794921875","288.34539794921875","301.1983642578125","301.1983642578125","301.1983642578125"
"17","288","288","288","295.98809814453125","295.98809814453125","295.98809814453125","295.0113525390625","295.0113525390625","295.0113525390625"
"18","309.006103515625","309.006103515625","309.006103515625","305.3290710449219","305.3290710449219","305.3290710449219","318.2027893066406","318.2027893066406","318.2027893066406"
"19","344.4883728027344","344.4883728027344","344.4883728027344","325.1968078613281","325.1968078613281","325.1968078613281","327.1875","327.1875","327.1875"
"20","324.9183654785156","324.9183654785156","324.9183654785156","294.9015808105469","294.9015808105469","294.9015808105469","300.6944580078125","300.6944580078125","300.6944580078125"
"21","316.0243835449219","316.0243835449219","316.0243835449219","298.6598815917969","298.6598815917969","298.6598815917969","307.44232177734375","307.44232177734375","307.44232177734375"
"22","290.6222229003906","290.6222229003906","290.6222229003906","303.0555419921875","303.0555419921875","303.0555419921875","304.00543212890625","304.00543212890625","304.00543212890625"
"23","305.8536682128906","305.8536682128906","305.8536682128906","329.98333740234375","329.98333740234375","329.98333740234375","325.30792236328125","325.30792236328125","325.30792236328125"
"24","311.0957336425781","311.0957336425781","311.0957336425781","324.1224365234375","324.1224365234375","324.1224365234375","330.59942626953125","330.59942626953125","330.59942626953125"
"25","315.797607421875","315.797607421875","315.797607421875","310.9285583496094","310.9285583496094","310.9285583496094","312.1847839355469","312.1847839355469","312.1847839355469"
"26","304.95123291015625","304.95123291015625","304.95123291015625","312.8255920410156","312.8255920410156","312.8255920410156","315.59686279296875","315.59686279296875","315.59686279296875"
"27","291.5718078613281","291.5718078613281","291.5718078613281","298.43609619140625","298.43609619140625","298.43609619140625","295.9146423339844","295.9146423339844","295.9146423339844"
"28","314.375","314.375","314.375","315.128662109375","315.128662109375","315.128662109375","348.2678527832031","348.2678527832031","348.2678527832031"
"29","296.3940124511719","296.3940124511719","296.3940124511719","301.3166809082031","301.3166809082031","301.3166809082031","319.9305419921875","319.9305419921875","319.9305419921875"
"30","314.1343688964844","314.1343688964844","314.1343688964844","288.1805419921875","288.1805419921875","288.1805419921875","320.18243408203125","320.18243408203125","320.18243408203125"
"31","304.22296142578125","304.22296142578125","304.22296142578125","304.9825439453125","304.9825439453125","304.9825439453125","326.59783935546875","326.59783935546875","326.59783935546875"
"32","318.6499938964844","318.6499938964844","318.6499938964844","304.4024353027344","304.4024353027344","304.4024353027344","336.0723571777344","336.0723571777344","336.0723571777344"
"33","299.0851135253906","299.0851135253906","299.0851135253906","304.27679443359375","304.27679443359375","304.27679443359375","319.1133728027344","319.1133728027344","319.1133728027344"
"34","302.4725646972656","302.4725646972656","302.4725646972656","291.79071044921875","291.79071044921875","291.79071044921875","304.3511962890625","304.3511962890625","304.3511962890625"
"35","306.89422607421875","306.89422607421875","306.89422607421875","301.3333435058594","301.3333435058594","301.3333435058594","328.54376220703125","328.54376220703125","328.54376220703125"
"36","302.48809814453125","302.48809814453125","302.48809814453125","312.4176940917969","312.4176940917969","312.4176940917969","315.99444580078125","315.99444580078125","315.99444580078125"
"37","296.9276428222656","296.9276428222656","296.9276428222656","300.5106506347656","300.5106506347656","300.5106506347656","309.44287109375","309.44287109375","309.44287109375"
"38","293.6554870605469","293.6554870605469","293.6554870605469","295.1499938964844","295.1499938964844","295.1499938964844","319.2788391113281","319.2788391113281","319.2788391113281"
"39","303.45623779296875","303.45623779296875","303.45623779296875","297.50311279296875","297.50311279296875","297.50311279296875","320.875","320.875","320.875"
"40","312.8166809082031","312.8166809082031","312.8166809082031","290.59796142578125","290.59796142578125","290.59796142578125","305.23162841796875","305.23162841796875","305.23162841796875"
"41","305.7527770996094","305.7527770996094","305.7527770996094","306.8341979980469","306.8341979980469","306.8341979980469","308.13519287109375","308.13519287109375","308.13519287109375"
"42","297.00311279296875","297.00311279296875","297.00311279296875","306.13671875","306.13671875","306.13671875","312.7878723144531","312.7878723144531","312.7878723144531"
"43","301.93243408203125","301.93243408203125","301.93243408203125","297.79376220703125","297.79376220703125","297.79376220703125","313.3367919921875","313.3367919921875","313.3367919921875"
"44","288.6636962890625","288.6636962890625","288.6636962890625","294.9418640136719","294.9418640136719","294.9418640136719","306.7035827636719","306.7035827636719","306.7035827636719"
"45","309.7664489746094","309.7664489746094","309.7664489746094","320.055908203125","320.055908203125","320.055908203125","313.95513916015625","313.95513916015625","313.95513916015625"
"46","297.46429443359375","297.46429443359375","297.46429443359375","297.70556640625","297.70556640625","297.70556640625","309.4186096191406","309.4186096191406","309.4186096191406"
"47","279.8343811035156","279.8343811035156","279.8343811035156","303.3780517578125","303.3780517578125","303.3780517578125","292.5821533203125","292.5821533203125","292.5821533203125"
"48","323.8653869628906","323.8653869628906","323.8653869628906","316.1071472167969","316.1071472167969","316.1071472167969","315.5535583496094","315.5535583496094","315.5535583496094"
"49","300.0946044921875","300.0946044921875","300.0946044921875","317.8717956542969","317.8717956542969","317.8717956542969","318.868408203125","318.868408203125","318.868408203125"
