"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - actor/main_chain/entropy","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - actor/main_chain/entropy__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - actor/main_chain/entropy__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - actor/main_chain/entropy","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - actor/main_chain/entropy__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - actor/main_chain/entropy__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MAX"
"1","0.4660188853740692","0.4660188853740692","0.4660188853740692","0.43459025025367737","0.43459025025367737","0.43459025025367737","0.4147096574306488","0.4147096574306488","0.4147096574306488"
"2","0.49867475032806396","0.49867475032806396","0.49867475032806396","0.4931826591491699","0.4931826591491699","0.4931826591491699","0.4680320918560028","0.4680320918560028","0.4680320918560028"
"3","0.41659224033355713","0.41659224033355713","0.41659224033355713","0.452999085187912","0.452999085187912","0.452999085187912","0.4282466769218445","0.4282466769218445","0.4282466769218445"
"4","0.4761885404586792","0.4761885404586792","0.4761885404586792","0.5034779906272888","0.5034779906272888","0.5034779906272888","0.5038093328475952","0.5038093328475952","0.5038093328475952"
"5","0.3942105770111084","0.3942105770111084","0.3942105770111084","0.4113779067993164","0.4113779067993164","0.4113779067993164","0.415853887796402","0.415853887796402","0.415853887796402"
"6","0.3724137842655182","0.3724137842655182","0.3724137842655182","0.3832906186580658","0.3832906186580658","0.3832906186580658","0.41718313097953796","0.41718313097953796","0.41718313097953796"
"7","0.41096553206443787","0.41096553206443787","0.41096553206443787","0.4028890132904053","0.4028890132904053","0.4028890132904053","0.4203416407108307","0.4203416407108307","0.4203416407108307"
"8","0.34328287839889526","0.34328287839889526","0.34328287839889526","0.3550756573677063","0.3550756573677063","0.3550756573677063","0.3855885863304138","0.3855885863304138","0.3855885863304138"
"9","0.43434029817581177","0.43434029817581177","0.43434029817581177","0.3769601583480835","0.3769601583480835","0.3769601583480835","0.37950798869132996","0.37950798869132996","0.37950798869132996"
"10","0.30036070942878723","0.30036070942878723","0.30036070942878723","0.31938984990119934","0.31938984990119934","0.31938984990119934","0.2933777868747711","0.2933777868747711","0.2933777868747711"
"11","0.29356974363327026","0.29356974363327026","0.29356974363327026","0.27550697326660156","0.27550697326660156","0.27550697326660156","0.2875383794307709","0.2875383794307709","0.2875383794307709"
"12","0.24285531044006348","0.24285531044006348","0.24285531044006348","0.2951310873031616","0.2951310873031616","0.2951310873031616","0.28975847363471985","0.28975847363471985","0.28975847363471985"
"13","0.30576974153518677","0.30576974153518677","0.30576974153518677","0.31021448969841003","0.31021448969841003","0.31021448969841003","0.27681612968444824","0.27681612968444824","0.27681612968444824"
"14","0.2750492990016937","0.2750492990016937","0.2750492990016937","0.2833515405654907","0.2833515405654907","0.2833515405654907","0.26404526829719543","0.26404526829719543","0.26404526829719543"
"15","0.21026980876922607","0.21026980876922607","0.21026980876922607","0.24683769047260284","0.24683769047260284","0.24683769047260284","0.2210962474346161","0.2210962474346161","0.2210962474346161"
"16","0.2623387575149536","0.2623387575149536","0.2623387575149536","0.25610026717185974","0.25610026717185974","0.25610026717185974","0.25768041610717773","0.25768041610717773","0.25768041610717773"
"17","0.24410995841026306","0.24410995841026306","0.24410995841026306","0.24696505069732666","0.24696505069732666","0.24696505069732666","0.23899231851100922","0.23899231851100922","0.23899231851100922"
"18","0.22773033380508423","0.22773033380508423","0.22773033380508423","0.22497302293777466","0.22497302293777466","0.22497302293777466","0.21088984608650208","0.21088984608650208","0.21088984608650208"
"19","0.2371729016304016","0.2371729016304016","0.2371729016304016","0.22540448606014252","0.22540448606014252","0.22540448606014252","0.23058591783046722","0.23058591783046722","0.23058591783046722"
"20","0.23031166195869446","0.23031166195869446","0.23031166195869446","0.22501374781131744","0.22501374781131744","0.22501374781131744","0.2094796895980835","0.2094796895980835","0.2094796895980835"
"21","0.2023417353630066","0.2023417353630066","0.2023417353630066","0.20433519780635834","0.20433519780635834","0.20433519780635834","0.2003035992383957","0.2003035992383957","0.2003035992383957"
"22","0.21845363080501556","0.21845363080501556","0.21845363080501556","0.23394271731376648","0.23394271731376648","0.23394271731376648","0.1959141492843628","0.1959141492843628","0.1959141492843628"
"23","0.18864205479621887","0.18864205479621887","0.18864205479621887","0.21520745754241943","0.21520745754241943","0.21520745754241943","0.19569885730743408","0.19569885730743408","0.19569885730743408"
"24","0.2124670147895813","0.2124670147895813","0.2124670147895813","0.21056605875492096","0.21056605875492096","0.21056605875492096","0.22806571424007416","0.22806571424007416","0.22806571424007416"
"25","0.16607381403446198","0.16607381403446198","0.16607381403446198","0.18231400847434998","0.18231400847434998","0.18231400847434998","0.17865145206451416","0.17865145206451416","0.17865145206451416"
"26","0.17253917455673218","0.17253917455673218","0.17253917455673218","0.19645385444164276","0.19645385444164276","0.19645385444164276","0.1888207048177719","0.1888207048177719","0.1888207048177719"
"27","0.18675865232944489","0.18675865232944489","0.18675865232944489","0.19532141089439392","0.19532141089439392","0.19532141089439392","0.1784820556640625","0.1784820556640625","0.1784820556640625"
"28","0.17748743295669556","0.17748743295669556","0.17748743295669556","0.19253195822238922","0.19253195822238922","0.19253195822238922","0.18432064354419708","0.18432064354419708","0.18432064354419708"
"29","0.17212288081645966","0.17212288081645966","0.17212288081645966","0.18032611906528473","0.18032611906528473","0.18032611906528473","0.18297387659549713","0.18297387659549713","0.18297387659549713"
"30","0.18841898441314697","0.18841898441314697","0.18841898441314697","0.18946851789951324","0.18946851789951324","0.18946851789951324","0.18981146812438965","0.18981146812438965","0.18981146812438965"
"31","0.157661572098732","0.157661572098732","0.157661572098732","0.17728473246097565","0.17728473246097565","0.17728473246097565","0.19387835264205933","0.19387835264205933","0.19387835264205933"
"32","0.1660984307527542","0.1660984307527542","0.1660984307527542","0.1609097272157669","0.1609097272157669","0.1609097272157669","0.1665380597114563","0.1665380597114563","0.1665380597114563"
"33","0.17687185108661652","0.17687185108661652","0.17687185108661652","0.18484695255756378","0.18484695255756378","0.18484695255756378","0.18931664526462555","0.18931664526462555","0.18931664526462555"
"34","0.17527736723423004","0.17527736723423004","0.17527736723423004","0.1660354882478714","0.1660354882478714","0.1660354882478714","0.16565600037574768","0.16565600037574768","0.16565600037574768"
"35","0.1727001816034317","0.1727001816034317","0.1727001816034317","0.17710380256175995","0.17710380256175995","0.17710380256175995","0.19697587192058563","0.19697587192058563","0.19697587192058563"
"36","0.16736510396003723","0.16736510396003723","0.16736510396003723","0.17808404564857483","0.17808404564857483","0.17808404564857483","0.1661534309387207","0.1661534309387207","0.1661534309387207"
"37","0.1514396071434021","0.1514396071434021","0.1514396071434021","0.13829870522022247","0.13829870522022247","0.13829870522022247","0.14970509707927704","0.14970509707927704","0.14970509707927704"
"38","0.15065579116344452","0.15065579116344452","0.15065579116344452","0.16578426957130432","0.16578426957130432","0.16578426957130432","0.16030572354793549","0.16030572354793549","0.16030572354793549"
"39","0.15454551577568054","0.15454551577568054","0.15454551577568054","0.15677732229232788","0.15677732229232788","0.15677732229232788","0.14401806890964508","0.14401806890964508","0.14401806890964508"
"40","0.18831224739551544","0.18831224739551544","0.18831224739551544","0.17060230672359467","0.17060230672359467","0.17060230672359467","0.15895850956439972","0.15895850956439972","0.15895850956439972"
"41","0.17593644559383392","0.17593644559383392","0.17593644559383392","0.15676932036876678","0.15676932036876678","0.15676932036876678","0.16191397607326508","0.16191397607326508","0.16191397607326508"
"42","0.15577363967895508","0.15577363967895508","0.15577363967895508","0.15664862096309662","0.15664862096309662","0.15664862096309662","0.15888172388076782","0.15888172388076782","0.15888172388076782"
"43","0.15968573093414307","0.15968573093414307","0.15968573093414307","0.1647489219903946","0.1647489219903946","0.1647489219903946","0.16305406391620636","0.16305406391620636","0.16305406391620636"
"44","0.14900340139865875","0.14900340139865875","0.14900340139865875","0.15193679928779602","0.15193679928779602","0.15193679928779602","0.1544954627752304","0.1544954627752304","0.1544954627752304"
"45","0.16824129223823547","0.16824129223823547","0.16824129223823547","0.17651472985744476","0.17651472985744476","0.17651472985744476","0.17506499588489532","0.17506499588489532","0.17506499588489532"
