"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.1-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam0.5-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam2.0-01161659 - val-core/GSM8K/reward/mean@1__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - val-core/GSM8K/reward/mean@1__MAX"
"50","0.511751326762699","0.511751326762699","0.511751326762699","0.5390447308567097","0.5390447308567097","0.5390447308567097","0.533737680060652","0.533737680060652","0.533737680060652","0.5216072782410918","0.5216072782410918","0.5216072782410918"
"55","0.5034116755117514","0.5034116755117514","0.5034116755117514","0.5261561789234268","0.5261561789234268","0.5261561789234268","0.5428354814253222","0.5428354814253222","0.5428354814253222","0.5390447308567097","0.5390447308567097","0.5390447308567097"
"60","0.5125094768764216","0.5125094768764216","0.5125094768764216","0.5314632297194845","0.5314632297194845","0.5314632297194845","0.5451099317664898","0.5451099317664898","0.5451099317664898","0.5367702805155421","0.5367702805155421","0.5367702805155421"
"65","0.5163002274450341","0.5163002274450341","0.5163002274450341","0.5526914329037149","0.5526914329037149","0.5526914329037149","0.55420773313116","0.55420773313116","0.55420773313116","0.5511751326762699","0.5511751326762699","0.5511751326762699"
"70","0.5299469294920395","0.5299469294920395","0.5299469294920395","0.5549658832448825","0.5549658832448825","0.5549658832448825","0.5466262319939348","0.5466262319939348","0.5466262319939348","0.5564821834723275","0.5564821834723275","0.5564821834723275"
"75","0.5329795299469295","0.5329795299469295","0.5329795299469295","0.5473843821076573","0.5473843821076573","0.5473843821076573","0.5413191811978771","0.5413191811978771","0.5413191811978771","0.5496588324488249","0.5496588324488249","0.5496588324488249"
"80","0.5322213798332069","0.5322213798332069","0.5322213798332069","0.5420773313115997","0.5420773313115997","0.5420773313115997","0.5496588324488249","0.5496588324488249","0.5496588324488249","0.5670962850644428","0.5670962850644428","0.5670962850644428"
"85","0.5322213798332069","0.5322213798332069","0.5322213798332069","0.5511751326762699","0.5511751326762699","0.5511751326762699","0.5428354814253222","0.5428354814253222","0.5428354814253222","0.5663381349507203","0.5663381349507203","0.5663381349507203"
"90","0.5390447308567097","0.5390447308567097","0.5390447308567097","0.5451099317664898","0.5451099317664898","0.5451099317664898","0.5655799848369977","0.5655799848369977","0.5655799848369977","0.5670962850644428","0.5670962850644428","0.5670962850644428"
"95","0.5466262319939348","0.5466262319939348","0.5466262319939348","0.5504169825625473","0.5504169825625473","0.5504169825625473","0.5655799848369977","0.5655799848369977","0.5655799848369977","0.5625473843821076","0.5625473843821076","0.5625473843821076"
