"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - actor/main_chain/entropy__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - actor/main_chain/entropy__MAX"
"73","0.12915752828121185","0.12915752828121185","0.12915752828121185","0.1323118656873703","0.1323118656873703","0.1323118656873703"
"74","0.1542225331068039","0.1542225331068039","0.1542225331068039","0.1409757286310196","0.1409757286310196","0.1409757286310196"
"75","0.1175900548696518","0.1175900548696518","0.1175900548696518","0.1344165802001953","0.1344165802001953","0.1344165802001953"
"76","0.11669395118951797","0.11669395118951797","0.11669395118951797","0.12232261896133423","0.12232261896133423","0.12232261896133423"
"77","0.13041560351848602","0.13041560351848602","0.13041560351848602","0.14876651763916016","0.14876651763916016","0.14876651763916016"
"78","0.11627568304538727","0.11627568304538727","0.11627568304538727","0.13462574779987335","0.13462574779987335","0.13462574779987335"
"79","0.12690040469169617","0.12690040469169617","0.12690040469169617","0.1356545090675354","0.1356545090675354","0.1356545090675354"
"80","0.12062619626522064","0.12062619626522064","0.12062619626522064","0.12410888075828552","0.12410888075828552","0.12410888075828552"
"81","0.1384342461824417","0.1384342461824417","0.1384342461824417","0.13574272394180298","0.13574272394180298","0.13574272394180298"
"82","0.13106492161750793","0.13106492161750793","0.13106492161750793","0.1270085573196411","0.1270085573196411","0.1270085573196411"
"83","0.11841476708650589","0.11841476708650589","0.11841476708650589","0.11457103490829468","0.11457103490829468","0.11457103490829468"
"84","0.11596954613924026","0.11596954613924026","0.11596954613924026","0.1395702213048935","0.1395702213048935","0.1395702213048935"
"85","0.13077117502689362","0.13077117502689362","0.13077117502689362","0.1300816386938095","0.1300816386938095","0.1300816386938095"
"86","0.11288461089134216","0.11288461089134216","0.11288461089134216","0.10396996885538101","0.10396996885538101","0.10396996885538101"
"87","0.14272980391979218","0.14272980391979218","0.14272980391979218","0.12799765169620514","0.12799765169620514","0.12799765169620514"
"88","0.10712482780218124","0.10712482780218124","0.10712482780218124","0.12098152190446854","0.12098152190446854","0.12098152190446854"
"89","0.12699902057647705","0.12699902057647705","0.12699902057647705","0.11822156608104706","0.11822156608104706","0.11822156608104706"
"90","0.12532930076122284","0.12532930076122284","0.12532930076122284","0.11189741641283035","0.11189741641283035","0.11189741641283035"
"91","0.12121404707431793","0.12121404707431793","0.12121404707431793","0.12227567285299301","0.12227567285299301","0.12227567285299301"
"92","0.11401619017124176","0.11401619017124176","0.11401619017124176","0.12298418581485748","0.12298418581485748","0.12298418581485748"
"93","0.1107708141207695","0.1107708141207695","0.1107708141207695","0.1151326447725296","0.1151326447725296","0.1151326447725296"
"94","0.10288737714290619","0.10288737714290619","0.10288737714290619","0.11575565487146378","0.11575565487146378","0.11575565487146378"
"95","0.12899942696094513","0.12899942696094513","0.12899942696094513","0.12917332351207733","0.12917332351207733","0.12917332351207733"
