"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MAX"
"55","307.0032958984375","307.0032958984375","307.0032958984375","292.97039794921875","292.97039794921875","292.97039794921875"
"56","307.67742919921875","307.67742919921875","307.67742919921875","299.9889831542969","299.9889831542969","299.9889831542969"
"57","306.79925537109375","306.79925537109375","306.79925537109375","296.28717041015625","296.28717041015625","296.28717041015625"
"58","315.7589416503906","315.7589416503906","315.7589416503906","296.5138854980469","296.5138854980469","296.5138854980469"
"59","301.09027099609375","301.09027099609375","301.09027099609375","301.328125","301.328125","301.328125"
"60","307.8157958984375","307.8157958984375","307.8157958984375","289.9871826171875","289.9871826171875","289.9871826171875"
"61","307.8881530761719","307.8881530761719","307.8881530761719","302.058837890625","302.058837890625","302.058837890625"
"62","273.59295654296875","273.59295654296875","273.59295654296875","264.3040466308594","264.3040466308594","264.3040466308594"
"63","300.7875061035156","300.7875061035156","300.7875061035156","274.2124938964844","274.2124938964844","274.2124938964844"
"64","323.5","323.5","323.5","286.47222900390625","286.47222900390625","286.47222900390625"
"65","304.5694580078125","304.5694580078125","304.5694580078125","301.2364807128906","301.2364807128906","301.2364807128906"
"66","303.20947265625","303.20947265625","303.20947265625","292.6114807128906","292.6114807128906","292.6114807128906"
"67","291.854736328125","291.854736328125","291.854736328125","286.3817443847656","286.3817443847656","286.3817443847656"
