"Step","Qwen2.5-0.5B-Instruct-TreeRL - actor/entropy","Qwen2.5-0.5B-Instruct-TreeRL - actor/entropy__MIN","Qwen2.5-0.5B-Instruct-TreeRL - actor/entropy__MAX"
"1","0.39425963163375854","0.39425963163375854","0.39425963163375854"
"2","0.36731812357902527","0.36731812357902527","0.36731812357902527"
"3","0.3180293142795563","0.3180293142795563","0.3180293142795563"
"4","0.2665393054485321","0.2665393054485321","0.2665393054485321"
"5","0.27050450444221497","0.27050450444221497","0.27050450444221497"
"6","0.2755821645259857","0.2755821645259857","0.2755821645259857"
"7","0.25548386573791504","0.25548386573791504","0.25548386573791504"
"8","0.28361988067626953","0.28361988067626953","0.28361988067626953"
"9","0.2691405117511749","0.2691405117511749","0.2691405117511749"
"10","0.26923272013664246","0.26923272013664246","0.26923272013664246"
"11","0.21995174884796143","0.21995174884796143","0.21995174884796143"
"12","0.23997946083545685","0.23997946083545685","0.23997946083545685"
"13","0.21530131995677948","0.21530131995677948","0.21530131995677948"
"14","0.1939138025045395","0.1939138025045395","0.1939138025045395"
"15","0.2379700243473053","0.2379700243473053","0.2379700243473053"
"16","0.220418781042099","0.220418781042099","0.220418781042099"
"17","0.18934816122055054","0.18934816122055054","0.18934816122055054"
"18","0.2281551957130432","0.2281551957130432","0.2281551957130432"
"19","0.20593899488449097","0.20593899488449097","0.20593899488449097"
"20","0.1897011250257492","0.1897011250257492","0.1897011250257492"
"21","0.21525682508945465","0.21525682508945465","0.21525682508945465"
"22","0.2078365981578827","0.2078365981578827","0.2078365981578827"
"23","0.18937663733959198","0.18937663733959198","0.18937663733959198"
"24","0.18594425916671753","0.18594425916671753","0.18594425916671753"
"25","0.16818004846572876","0.16818004846572876","0.16818004846572876"
"26","0.1743345558643341","0.1743345558643341","0.1743345558643341"
"27","0.17054803669452667","0.17054803669452667","0.17054803669452667"
"28","0.17377781867980957","0.17377781867980957","0.17377781867980957"
"29","0.18281309306621552","0.18281309306621552","0.18281309306621552"
"30","0.16587349772453308","0.16587349772453308","0.16587349772453308"
"31","0.1513902097940445","0.1513902097940445","0.1513902097940445"
"32","0.17043544352054596","0.17043544352054596","0.17043544352054596"
"33","0.16355064511299133","0.16355064511299133","0.16355064511299133"
"34","0.1912773698568344","0.1912773698568344","0.1912773698568344"
"35","0.1530042439699173","0.1530042439699173","0.1530042439699173"
"36","0.1413443237543106","0.1413443237543106","0.1413443237543106"
"37","0.14866654574871063","0.14866654574871063","0.14866654574871063"
"38","0.14846128225326538","0.14846128225326538","0.14846128225326538"
"39","0.15364296734333038","0.15364296734333038","0.15364296734333038"
"40","0.17677372694015503","0.17677372694015503","0.17677372694015503"
"41","0.16133400797843933","0.16133400797843933","0.16133400797843933"
"42","0.1579260528087616","0.1579260528087616","0.1579260528087616"
"43","0.15891136229038239","0.15891136229038239","0.15891136229038239"
"44","0.16641603410243988","0.16641603410243988","0.16641603410243988"
"45","0.1682761311531067","0.1682761311531067","0.1682761311531067"
"46","0.19355885684490204","0.19355885684490204","0.19355885684490204"
"47","0.15373456478118896","0.15373456478118896","0.15373456478118896"
"48","0.1549459993839264","0.1549459993839264","0.1549459993839264"
"49","0.156691312789917","0.156691312789917","0.156691312789917"
"50","0.15622983872890472","0.15622983872890472","0.15622983872890472"
"51","0.17484231293201447","0.17484231293201447","0.17484231293201447"
"52","0.1672116070985794","0.1672116070985794","0.1672116070985794"
"53","0.1599237024784088","0.1599237024784088","0.1599237024784088"
"54","0.17430375516414642","0.17430375516414642","0.17430375516414642"
"55","0.1685071438550949","0.1685071438550949","0.1685071438550949"
"56","0.1787327378988266","0.1787327378988266","0.1787327378988266"
"57","0.17594589293003082","0.17594589293003082","0.17594589293003082"
"58","0.17254579067230225","0.17254579067230225","0.17254579067230225"
"59","0.15045121312141418","0.15045121312141418","0.15045121312141418"
"60","0.1544751226902008","0.1544751226902008","0.1544751226902008"
"61","0.17116239666938782","0.17116239666938782","0.17116239666938782"
"62","0.16101588308811188","0.16101588308811188","0.16101588308811188"
"63","0.18668891489505768","0.18668891489505768","0.18668891489505768"
"64","0.1517619490623474","0.1517619490623474","0.1517619490623474"
"65","0.20338408648967743","0.20338408648967743","0.20338408648967743"
"66","0.15380598604679108","0.15380598604679108","0.15380598604679108"
"67","0.1635124683380127","0.1635124683380127","0.1635124683380127"
"68","0.15533019602298737","0.15533019602298737","0.15533019602298737"
"69","0.1583796888589859","0.1583796888589859","0.1583796888589859"
"70","0.17776285111904144","0.17776285111904144","0.17776285111904144"
"71","0.16911686956882477","0.16911686956882477","0.16911686956882477"
"72","0.18117572367191315","0.18117572367191315","0.18117572367191315"
"73","0.17702819406986237","0.17702819406986237","0.17702819406986237"
"74","0.1630232334136963","0.1630232334136963","0.1630232334136963"
"75","0.1797141581773758","0.1797141581773758","0.1797141581773758"
"76","0.18013827502727509","0.18013827502727509","0.18013827502727509"
"77","0.16362975537776947","0.16362975537776947","0.16362975537776947"
"78","0.18726009130477905","0.18726009130477905","0.18726009130477905"
"79","0.14872723817825317","0.14872723817825317","0.14872723817825317"
"80","0.17556725442409515","0.17556725442409515","0.17556725442409515"
"81","0.1591978371143341","0.1591978371143341","0.1591978371143341"
"82","0.16876794397830963","0.16876794397830963","0.16876794397830963"
"83","0.19178713858127594","0.19178713858127594","0.19178713858127594"
"84","0.16812008619308472","0.16812008619308472","0.16812008619308472"
"85","0.15568065643310547","0.15568065643310547","0.15568065643310547"
"86","0.1809385120868683","0.1809385120868683","0.1809385120868683"
"87","0.17440737783908844","0.17440737783908844","0.17440737783908844"
"88","0.17378245294094086","0.17378245294094086","0.17378245294094086"
"89","0.17142458260059357","0.17142458260059357","0.17142458260059357"
"90","0.16140204668045044","0.16140204668045044","0.16140204668045044"
"91","0.14866648614406586","0.14866648614406586","0.14866648614406586"
"92","0.15063028037548065","0.15063028037548065","0.15063028037548065"
"93","0.14082005620002747","0.14082005620002747","0.14082005620002747"
"94","0.18456396460533142","0.18456396460533142","0.18456396460533142"
"95","0.16405051946640015","0.16405051946640015","0.16405051946640015"
"96","0.15915657579898834","0.15915657579898834","0.15915657579898834"
"97","0.17531991004943848","0.17531991004943848","0.17531991004943848"
"98","0.15150746703147888","0.15150746703147888","0.15150746703147888"
"99","0.17081865668296814","0.17081865668296814","0.17081865668296814"
"100","0.17621420323848724","0.17621420323848724","0.17621420323848724"
"101","0.1819278448820114","0.1819278448820114","0.1819278448820114"
"102","0.21461424231529236","0.21461424231529236","0.21461424231529236"
"103","0.16378909349441528","0.16378909349441528","0.16378909349441528"
"104","0.2109391838312149","0.2109391838312149","0.2109391838312149"
"105","0.15919771790504456","0.15919771790504456","0.15919771790504456"
"106","0.1910652220249176","0.1910652220249176","0.1910652220249176"
"107","0.159473717212677","0.159473717212677","0.159473717212677"
"108","0.17059803009033203","0.17059803009033203","0.17059803009033203"
"109","0.16572463512420654","0.16572463512420654","0.16572463512420654"
"110","0.1617799699306488","0.1617799699306488","0.1617799699306488"
"111","0.1727510690689087","0.1727510690689087","0.1727510690689087"
"112","0.21426427364349365","0.21426427364349365","0.21426427364349365"
"113","0.17669276893138885","0.17669276893138885","0.17669276893138885"
"114","0.17489326000213623","0.17489326000213623","0.17489326000213623"
"115","0.1902311146259308","0.1902311146259308","0.1902311146259308"
"116","0.17990632355213165","0.17990632355213165","0.17990632355213165"
"117","0.15875373780727386","0.15875373780727386","0.15875373780727386"
"118","0.15114648640155792","0.15114648640155792","0.15114648640155792"
"119","0.16938529908657074","0.16938529908657074","0.16938529908657074"
"120","0.17756587266921997","0.17756587266921997","0.17756587266921997"
"121","0.15674442052841187","0.15674442052841187","0.15674442052841187"
"122","0.15519477427005768","0.15519477427005768","0.15519477427005768"
"123","0.15341408550739288","0.15341408550739288","0.15341408550739288"
"124","0.17505131661891937","0.17505131661891937","0.17505131661891937"
"125","0.1729053109884262","0.1729053109884262","0.1729053109884262"
"126","0.15416929125785828","0.15416929125785828","0.15416929125785828"
"127","0.15737463533878326","0.15737463533878326","0.15737463533878326"
"128","0.16320547461509705","0.16320547461509705","0.16320547461509705"
"129","0.19216449558734894","0.19216449558734894","0.19216449558734894"
"130","0.20471839606761932","0.20471839606761932","0.20471839606761932"
"131","0.17325304448604584","0.17325304448604584","0.17325304448604584"
"132","0.17128553986549377","0.17128553986549377","0.17128553986549377"
"133","0.148325577378273","0.148325577378273","0.148325577378273"
"134","0.15761826932430267","0.15761826932430267","0.15761826932430267"
"135","0.14724086225032806","0.14724086225032806","0.14724086225032806"
"136","0.15037570893764496","0.15037570893764496","0.15037570893764496"
